,P_NAME,P_RADIUS,P_TEMP_EQUIL,P_ESCAPE,P_ECCENTRICITY,S_DISTANCE,S_LUMINOSITY,S_HZ_OPT_MIN,S_HZ_OPT_MAX,P_ESI,S_TEMPERATURE,S_AGE,P_GRAVITY,P_DENSITY
167,55 Cnc f,7.59,258.9434,2.4298322,0.08,12.5855,0.63533093,0.61901216,1.486773,0.45696022,5172,10.2,0.77787672,0.10248705
168,HATS-22 b,10.682,783.18073,9.0291411,0.079,229.518,0.22594358,0.37565742,0.91565493,0.093546131,4803,,7.6320341,0.71447614
169,TOI-837 b,8.631,902.81614,6.6474872,0,142.488,1.0990058,0.77398604,1.8116198,0.1048012,6047,0.035,5.1198107,0.59318858
170,NGTS-6 b,14.863,1399.0498,5.3509944,0,308.262,0.25585859,0.40098097,0.98046295,0.062090133,4730,9.77,1.9264711,0.12961523
171,LP 791-18 c,2.438,324.25039,1.7065237,0.00008,26.4927,0.0023014418,0.039461356,0.10506944,0.56647203,2960,0.5,1.1945132,0.48995619
172,WASP-14 b,15.468,1692.4994,13.477412,0.09,161.997,2.6730064,1.1763957,2.7316997,0.059304533,6475,0.75,11.742994,0.75917983
173,WASP-99 b,11.433,1300.4394,8.2190284,0,158.66,3.4914032,1.3708956,3.2017824,0.078512157,6150,3,5.9085478,0.51679767
174,Kepler-396 c,5.3,383.35736,1.8377591,0,223.757,0.73282453,0.65058601,1.5420677,0.32187955,5565,4.37,0.63723745,0.12023348
175,WASP-88 b,16.365,1523.914,2.8560387,0,523.756,5.2966344,1.6603471,3.8581926,0.05665537,6430,3,0.49843916,0.030457633
176,HATS-2 b,13.092,1439.58,5.7140793,0,341.925,0.53951062,0.56879475,1.3634153,0.069306947,5227,9.7,2.4939431,0.19049367
177,KELT-23 A b,14.83,1429.5889,4.4836147,0,126.261,1.081434,0.77473334,1.819618,0.062115995,5899,6.4,1.3555496,0.091405909
178,WASP-180 A b,13.899,1393.8919,4.5365627,0,253.985,2.0653802,1.0266776,2.3797534,0.065898031,6600,1.2,1.4807109,0.10653363
179,TOI-1201 b,2.415,645.5186,1.6125799,0,37.8871,0.033962527,0.150775,0.39172562,0.26542094,3476,,1.076776,0.44586999
180,HAT-P-30 b,16.141,1489.187,4.0426977,0.04,213.985,2.0511622,1.0410114,2.4241871,0.05743957,6304,1,1.0125398,0.062730922
181,WASP-147 b,12.498,1282.5182,2.6444998,0,436.098,1.936422,1.0490723,2.4767019,0.072797886,5702,8.47,0.55955984,0.044771951
182,WASP-89 b,11.657,1009.5191,12.683235,0.193,290.946,0.45394162,0.52436149,1.2614134,0.07986484,5130,1.3,13.799816,1.1838223
183,TOI-157 b,14.415,1454.6993,5.1007158,0,355.683,1.0471285,0.78484984,1.8698222,0.063626305,5404,12.82,1.804877,0.12520825
184,TOI-421 b,2.68,921.04187,1.6356568,0.163,74.7969,0.53951062,0.56581847,1.3516023,0.2300217,5325,9.4,0.99827356,0.37249013
185,TOI-125 b,2.726,947.11234,1.8668047,0.194,111.059,0.51880004,0.55500285,1.325995,0.22719779,5320,6.8,1.2784151,0.46897107
186,WASP-106 b,11.433,1072.5438,6.7108086,0,352.181,2.6424088,1.1995573,2.8072344,0.080352335,6055,7,3.9390319,0.34453178
187,L 98-59 c,1.34,466.19765,1.3438639,0,10.6194,0.011271975,0.08692734,0.22655523,0.39979099,3412,0.8,1.3477389,1.0057753
188,WASP-55 b,14.908,1184.4933,3.6062238,0,297.462,1.4554591,0.89872298,2.110781,0.063026218,5900,1.1,0.87234034,0.058514914
189,pi Men c,2.06,1062.9528,1.3274547,0.077,18.2702,1.4454398,0.88817453,2.0793528,0.25604224,6037,3.92,0.85540579,0.41524553
190,HATS-53 b,15.02,1190.7483,3.5483051,0.33,585.77,1.1091748,0.79670483,1.8840004,0.062386814,5644,9,0.83824696,0.055808719
191,TOI-1259 A b,11.456,899.08863,3.4978337,0,118.106,0.25703958,0.4011528,0.97897264,0.083702604,4775,4.8,1.0679854,0.093224979
192,WASP-95 b,13.787,1527.0061,5.7616093,0,137.544,1.5066071,0.9182673,2.1604725,0.066005251,5830,2.4,2.4077857,0.17464174
193,HATS-43 b,13.227,909.37196,2.5043038,0.173,362.273,0.39994475,0.49295585,1.1872589,0.074036752,5099,8.6,0.47414665,0.035846878
194,WASP-37 b,13.002,1191.7421,6.6331452,0,392.791,0.95279616,0.7315695,1.722555,0.070911003,5800,11,3.3839883,0.26026675
195,WASP-80 b,11.198,754.77999,3.9076742,0.002,49.7876,0.091201084,0.24411614,0.61351984,0.092150701,4143,7,1.363629,0.12177434
196,CoRoT-19 b,14.46,1530.6463,4.9393276,0.047,790.663,3.4994517,1.3775046,3.221237,0.063265151,6090,5,1.6872031,0.11668071
197,Qatar-4 b,12.722,1267.0337,12.344817,0,329.036,0.48083935,0.53731522,1.2885175,0.071768861,5215,0.17,11.978817,0.94158287
198,WASP-161 b,12.812,1425.0896,7.8593866,,343.08,4.4360864,1.5221875,3.5388657,0.070675382,6400,,4.821258,0.37630799
199,WASP-49 b,12.442,1269.2001,3.0743493,0,194.553,0.88511561,0.71354153,1.6895162,0.073152527,5600,11.9,0.75965468,0.061055673
200,WASP-63 b,15.805,1376.8726,2.727728,0,290.684,2.8119008,1.2755052,3.0246771,0.058866766,5550,8.3,0.47076873,0.029786064
201,HAT-P-13 b,14.258,1484.9409,4.3553576,0.0133,246.81,2.2181964,1.1260739,2.6621822,0.064167182,5653,5,1.3304208,0.09331048
202,GJ 1132 b,1.13,528.0475,1.2120341,0.22,12.613,0.0043752211,0.054240289,0.14234139,0.36158321,3270,5,1.3000235,1.1504633
203,WASP-69 b,12.442,914.72472,2.7217695,0,49.9605,0.34040819,0.4630775,1.1337884,0.077831461,4700,7,0.59540502,0.047854446
204,HAT-P-35 b,14.93,1423.349,4.7413225,0.02,506.965,2.4154608,1.1440212,2.6749046,0.061765066,6096,3.5,1.5057026,0.10085081
