name;mass;radius;orbital_period;semi_major_axis;star_distance;star_teff;star_radius;temp_calculated;mag_v;mag_j;mag_k;scale_factor;tsm;esm;albedo;molecules
HAT-P-19 b;0.292;1.132;4.008784;0.0466;215.0;4990.0;0.82;981.2;12.9;11.095;10.546;1.15;222.579;63.8947;0.0446005509641873;"[]; {Featureless spectra"":""Detection""}"""
HAT-P-2 b;4.22;0.951;5.6334729;0.0674;118.0;6414.0;1.54;1478.4029578371;8.71;7.796;7.603;1.15;8.6056;80.4223;0.0446005509641873;"{H"":""Upper limit""}""; {Featureless spectra"":""Detection""}"""
HAT-P-23 b;2.09;1.368;1.212884;0.0232;393.0;5924.0;1.29;2056.0;11.94;11.103;10.791;1.15;46.2971;101.1017;0.0446005509641873;"[]; {Featureless spectra"":""Detection""}"""
HAT-P-26 b;0.0585;0.57;4.234502;0.0479;134.0;5079.0;0.788;590.0;11.74;10.08;9.581;1.15;147.3894;7.2246;0.0;"{He"":""Detection""}""; {H2O"":""Detection"",""TiO"":""Detection""}""; {Featureless spectra"":""Detection""}""; {H2O"":""Detection""}"""
HAT-P-3 b;0.591;0.827;2.899703;0.03866;130.0;5224.0;0.799;1145.1940636587;11.86;9.936;9.448;1.15;89.8903;77.2648;0.0446005509641873;"{He"":""Upper limit""}"""
HAT-P-30 b;0.711;1.34;2.810595;0.0419;193.0;6250.0;1.33;1697.9788695269;10.42;9.442;9.151;1.15;213.5363;135.9056;0.1115013774104683;[]
HAT-P-32 b;0.75;1.789;2.15000825;0.03427;320.0;6001.0;1.387;1835.7;11.29;10.251;9.99;1.15;329.926;179.4236;0.0;"{H"":""Detection"",""He"":""Detection""}""; {CO2"":""Detection"",""H2O"":""Detection"",""Rayleigh Scattering"":""Detection""}""; {H2O"":""Detection""}""; {He"":""Detection""}""; []; {FeH"":""Upper limit""}"""
HAT-P-33 b;0.763;1.827;3.474474;0.0503;419.0;6401.0;1.777;1834.5983712062;11.89;10.263;10.004;1.15;209.1487;104.9844;0.0446005509641873;"{He"":""Upper limit""}"""
HAT-P-4 b;0.68;1.27;3.0565114;0.0446;310.0;5890.0;1.59;1686.0;11.2;10.1;9.770001;1.15;97.5357;68.0566;0.0446005509641873;[]
HAT-P-41 b;0.8;1.685;2.694047;0.0426;344.0;6479.0;1.19;1651.2396790884;11.087;10.006;9.728;1.15;353.5281;188.7223;0.0;"{H2O"":""Detection""}""; {Featureless spectra"":""Detection""}""; {TiO"":""Detection"",""CrH"":""Detection"",""MgH"":""Detection""}"""
HAT-P-49 b;1.73;1.448;2.6915575;0.0412;322.0;6820.0;1.833;2193.0;10.21;9.55;9.346;1.15;71.6426;101.9027;0.0446005509641873;"{He"":""Upper limit""}"""
HAT-P-55 b;0.582;1.182;3.5852467;0.04604;477.98;5808.0;1.011;1313.0;13.207;12.02;11.627;1.15;73.0954;41.1959;0.0446005509641873;"{Na"":""Detection"",""MgH"":""Detection""}"""
HAT-P-57 b;1.85;1.413;2.465295;0.0406;303.0;7500.0;1.5;2200.0;10.47;9.67;9.433;1.15;88.2456;125.4927;0.0446005509641873;"{He"":""Upper limit""}""; {Featureless spectra"":""Detection""}""; {H"":""Upper limit"",""Fe"":""No detection""}""; {FeH"":""Upper limit""}"""
HAT-P-6 b;1.11;1.275;3.8529972;0.0494;200.0;6570.0;1.46;1723.0;10.5;9.558;9.313;1.15;94.0557;91.5556;0.0446005509641873;[]
HAT-P-65 b;0.527;1.89;2.6054552;0.03951;477.98;5835.0;1.86;1930.0;13.15;11.892;11.528;1.15;152.0212;61.199;0.0;"{TiO"":""Detection"",""Na"":""Upper limit"",""VO"":""Upper limit""}"""
HAT-P-67 b;0.34;2.085;4.81010205;0.06505;320.0;6406.0;1.546;1903.0;10.69;9.145001;8.9;1.15;1599.7676;317.4523;0.0446005509641873;"{H"":""Upper limit"",""Cr"":""Upper limit"",""Fe"":""Upper limit"",""Na"":""Upper limit"",""Ti"":""Upper limit"",""He"":""Detection""}""; {H"":""Upper limit"",""Ca+"":""Detection"",""Na"":""Detection""}""; {He"":""Upper limit""}""; {He"":""Detection""}"""
HAT-P-7 b;1.741;1.431;2.204735471;0.0379;320.0;6259.0;2.0;2121.0;10.5;9.555;9.334;1.15;55.6928;88.4042;0.0;"[]; {H2O"":""Detection"",""FeH"":""Detection"",""CO2"":""Detection""}"""
HAT-P-70 b;4.22;1.87;2.74432452;0.04739;329.0;8450.0;1.858;2562.0;9.5;9.068;8.963;1.15;55.896;192.866;0.0;"{Ca+"":""Detection"",""Cr"":""Detection"",""Cr+"":""Detection"",""Fe"":""Detection"",""Fe+"":""Detection"",""H"":""Detection"",""Mg"":""Detection"",""Na"":""Detection"",""V"":""Detection""}"""
HAT-P-8 b;1.34;1.5;3.0763402;0.0449;230.0;6200.0;1.58;1773.4972422895;10.17;9.214;8.953;1.15;130.6422;142.9594;0.0446005509641873;[]
HATS-46 b;0.173;0.903;4.7423729;0.05367;448.0;5495.0;0.853;1054.0;13.634;12.366;11.965;1.15;105.4284;20.2342;0.0446005509641873;"{Cloudy"":""Detection""}"""
HATS-5 b;0.237;0.912;4.763387;0.0542;257.0;5304.0;0.871;1025.0;12.63;11.199;10.703;1.15;126.5674;34.8511;0.0446005509641873;"{H2O"":""Detection""}"""
HD 102195 b;0.46;1.3672001203745;4.114;0.049;28.98;5291.0;0.835;1053.2134928857;8.05;6.629;6.151;1.15;2015.0226;735.464;0.0446005509641873;"{H2O"":""Detection"",""CH4"":""Detection""}"""
HD 106315 c;0.04782;0.388;8.27095205;0.09614;109.0;6327.0;1.3;886.0;9.0;8.116;7.853;1.15;77.523;6.2229;0.0446005509641873;"{H2O"":""Detection""}""; {Na"":""Upper limit""}"""
HD 143105 b;1.21;2.414944257469;2.1974;0.0379;48.7;6380.0;1.152609202947846;1540.126812869267;6.75;5.795;5.519;1.15;3343.223394303798;4920.829656780736;0.0446005509641873;"{H2O"":""Detection"",""CO"":""Upper limit""}"""
HD 149026 b;0.28;0.74;2.8758916;0.041;78.9;6147.0;1.497;1634.0;8.15;7.118;6.819;1.15;202.2756;91.7555;0.0446005509641873;"{H"":""Upper limit""}""; {Fe"":""Detection"",""TiO"":""No detection""}""; {CO2"":""Theoretical prediction"",""CO"":""Theoretical prediction""}""; {Molecular ratios: C\/O, etc..."":""Detection""}""; {CO2"":""Detection"",""H2O"":""Detection"",""Molecular ratios: C/O, etc..."":""Detection""}""; {Ti"":""Detection""}""; {H2O"":""Detection""}""; {Featureless spectra"":""Detection""}"""
HD 179949 b;0.92;1.05;3.0925;0.045;27.0;6260.0;1.19;1552.2976930022;6.25;5.296;4.936;1.15;611.87;626.0955;0.0;"{CO"":""Detection"",""H2O"":""Detection""}"""
HD 189733 b;1.138;1.138;2.219;0.031;19.3;4875.0;0.805;1197.9126975084;7.67;6.073;5.541;1.15;742.5333;1032.38;0.0446005509641873;"{H"":""Detection""}""; {He"":""Detection""}""; {H2O"":""Detection""}""; {Na"":""Upper limit""}""; []; {Na"":""Detection"",""H2O"":""Detection""}""; {Featureless spectra"":""Detection""}""; {Rayleigh Scattering"":""Detection""}""; {K"":""Upper limit"",""Na"":""Upper limit""}""; {Na"":""Detection""}""; {Na"":""Detection"",""Ca"":""Upper limit""}""; {O"":""Detection""}""; {CO"":""Detection"",""H2O"":""Upper limit""}""; {H"":""Detection"",""O"":""Upper limit"",""C+"":""Upper limit""}""; {H2O"":""Detection"",""CO"":""Detection"",""HCN"":""Detection""}""; {C+"":""Detection"",""H"":""Detection""}""; {H2O"":""Detection"",""CO2"":""Detection"",""CO"":""Detection"",""Molecular ratios: C\/O, etc..."":""Detection"",""CH4"":""Upper limit"",""H2S"":""Detection""}""; {CO"":""Detection"",""H2O"":""Detection""}""; {H2O"":""Detection"",""CO2"":""Detection""}""; {H2O"":""Detection"",""H2S"":""Detection"",""SiO2"":""Theoretical prediction""}""; {H2O"":""Detection"",""CH4"":""Upper limit"",""CO"":""Upper limit"",""HCN"":""Upper limit"",""NH3"":""Upper limit""}""; {FeH"":""Upper limit""}""; {Rayleigh Scattering"":""Detection"",""K"":""Upper limit"",""Na"":""Upper limit""}""; {Molecular ratios: C\/O, etc..."":""Detection""}"""
HD 202772 A b;1.008;1.562;3.30896;0.0519;147.2;6230.0;2.614;2132.0;8.32;7.232;6.959;1.15;214.5639;186.4831;0.1115013774104683;[]
HD 209458 b;0.69;1.38;3.52472;0.04747;47.0;6092.0;1.203;1478.8241952106;7.65;6.591;6.308;1.15;950.9802;535.1454;0.0;"{Na"":""Upper limit""}""; {Na"":""Detection"",""H2O"":""Detection""}""; {Na"":""No detection""}""; {H2O"":""Detection""}""; {Na"":""Detection""}""; {Na"":""Upper limit"",""Li"":""Upper limit"",""H"":""Upper limit""}""; {C+"":""Detection"",""O"":""Detection""}""; {C+"":""Detection"",""Si+"":""Detection""}""; {CO"":""Detection"",""H2O"":""Upper limit""}""; {CO"":""Detection""}""; {He"":""Upper limit""}""; {He"":""Detection""}""; {TiO"":""Detection"",""Na"":""Detection""}""; {CO"":""Detection"",""H2O"":""Detection"",""CH4"":""Detection"",""HCN"":""Detection"",""NH3"":""Detection""}""; []; {Fe+"":""Detection"",""Mg"":""No detection"",""Mg+"":""No detection""}""; {H"":""Detection""}""; {CO2"":""Detection"",""H2O"":""Detection"",""Molecular ratios: C/O, etc..."":""Detection"",""CH4"":""Upper limit"",""HCN"":""Upper limit""}""; {H2O"":""Detection"",""CH4"":""No detection"",""CO"":""No detection"",""HCN"":""No detection"",""NH3"":""No detection""}""; {H2O"":""Detection"",""CH4"":""Detection"",""CO"":""Detection""}""; {FeH"":""Upper limit""}"""
HD 3167 c;0.0308;0.255;8.27095205;0.09614;47.36;5528.0;0.87;531.0;8.94;7.548;7.066;1.28;66.1053;2.4213;0.0446005509641873;"{H2O"":""Detection"",""CO2"":""Detection""}"""
HD 63433 b;0.0689;0.1945;7.1079477;0.0719;22.42;5640.0;0.912;870.0;7.0;5.624;5.258;1.26;46.681;11.5136;0.0446005509641873;"{H"":""Upper limit""}""; {He"":""Upper limit""}""; {H"":""No detection""}"""
HD 63433 c;0.0482;0.2427;8.27095205;0.09614;22.42;5640.0;0.912;622.305801154;7.0;5.624;5.258;1.26;92.7357;7.4359;0.0;"{H"":""Upper limit""}""; {He"":""Upper limit""}""; {H"":""Detection"",""He"":""Upper limit""}"""
HD 73583 b;0.0321;0.2489;6.398042;0.0604;31.6;4511.0;0.71;721.0;9.67;7.649;6.948;1.28;114.7885;11.7301;0.0446005509641873;"{H"":""Upper limit""}""; {He"":""Detection""}"""
HD 73583 c;0.0302;0.2436;8.27095205;0.09614;31.6;4511.0;0.71;503.0;9.67;7.649;6.948;1.26;78.5501;3.7034;0.0446005509641873;"{H"":""Upper limit""}""; {He"":""Upper limit""}"""
HD 80606 b;4.1641;1.032;8.27095205;0.09614;58.4;5645.0;0.98;397.18235971598;8.93;7.702;7.316;1.15;15.9902;8.7586;0.0446005509641873;"{K"":""Upper limit""}""; {CO"":""Detection"",""CH4"":""Detection""}"""
HD 85628 A b;3.1;1.53;2.82406;0.047;171.54;7800.0;1.92;2403.9738717093;8.19;8.798540093711468;8.350957978986402;1.15;3343.223394303798;4920.829656780736;0.0446005509641873;"{Rb"":""Detection"",""Sm"":""Detection"",""Ti+"":""Detection"",""Ba+"":""Detection"",""Mg"":""Detection"",""Ca"":""Detection"",""Cr"":""Detection"",""Fe"":""Detection""}""; {H"":""Detection"",""Na"":""Detection"",""Ca+"":""Detection"",""Mg"":""Detection"",""Fe"":""Detection"",""Fe+"":""Detection"",""Ca"":""Detection"",""Cr"":""Detection""}"""
HD 89345 b;0.1123;0.612;8.27095205;0.09614;126.6;5609.0;1.657;1053.0;9.4;8.091;7.721;1.15;95.8641;16.9385;0.0446005509641873;"{He"":""Upper limit""}"""
HD 97658 b;0.02457;0.20047;8.27095205;0.08;21.1;5170.0;0.73;809.0;6.27;6.203;5.734;1.26;159.337;14.305;0.0;"{He"":""No detection""}"""
HIP 41378 f;0.038;0.3604;8.27095205;0.09614;116.0;6199.0;1.4;335.0;8.9;7.982;7.722;1.15;27.1117;0.171;0.0;"{Featureless spectra"":""Detection""}"""
HIP 65426 b;4.22;1.5;8.27095205;0.09614;109.2;8840.0;1.77;1560.0;7.01;6.826;6.771;1.15;51.9029;169.0523;0.0446005509641873;"{Molecular ratios: C/O, etc..."":""Detection""}"""
HIP 65A b;3.213;2.03;0.9809734;0.01782;61.89;4590.0;0.7242;1411.0;11.1;8.798540093711468;8.350957978986402;1.15;3343.223394303798;4920.829656780736;0.0;"{H2O"":""Detection"",""CO"":""Detection"",""Molecular ratios: C\/O, etc..."":""Detection""}""; []"
HIP 67522 b;0.0434;0.897;6.9594738;0.0753;127.27;5675.0;1.38;1174.0;9.9;8.587;8.164;1.15;999.0691;52.346;0.0446005509641873;"{CO2"":""Detection"",""H2O"":""Detection"",""CO"":""Detection"",""H2S"":""Detection"",""Molecular ratios: C\/O, etc..."":""Detection""}"""
HIP 94235 b;1.192;0.2862;7.712121;0.0787;58.61;5991.0;1.08;1060.0;8.3;7.201;6.881;1.28;3.6703;12.0442;0.0446005509641873;"{H"":""Upper limit""}"""
HR 8799 b;4.22;1.2;8.27095205;0.09614;39.4;5702.228571428572;1.5;1540.126812869267;5.96;5.383;5.24;1.15;3343.223394303798;4920.829656780736;0.0;"{Cloudy"":""Detection"",""Molecular ratios: C\/O, etc..."":""Detection""}""; {H2O"":""Detection"",""CO"":""Detection""}""; {H2O"":""Detection"",""CO"":""Detection"",""CH4"":""Upper limit""}""; {NH3"":""Detection"",""H2C2"":""Detection"",""CO2"":""Detection""}"""
HR 8799 c;4.22;1.3;8.27095205;0.09614;39.4;5702.228571428572;1.5;1540.126812869267;5.96;5.383;5.24;1.15;3343.223394303798;4920.829656780736;0.0;"{C"":""Upper limit""}""; {Molecular ratios: C\/O, etc..."":""Detection"",""Cloudy"":""Detection"",""HCN"":""Detection"",""CH4"":""Detection""}""; {CH4"":""Detection"",""H2O"":""Detection""}""; {CH4"":""No detection"",""CO2"":""No detection"",""H2C2"":""Upper limit"",""NH3"":""Detection""}""; {CO"":""Detection""}"""
HR 8799 d;4.22;1.2;8.27095205;0.09614;39.4;5702.228571428572;1.5;1540.126812869267;5.96;5.383;5.24;1.15;3343.223394303798;4920.829656780736;0.0;"{Cloudy"":""Detection"",""Molecular ratios: C\/O, etc..."":""Detection""}""; {CH4"":""Detection"",""H2O"":""Detection""}""; {CH4"":""Detection"",""CO2"":""Detection"",""H2C2"":""Detection"",""NH3"":""Upper limit""}"""
HR 8799 e;4.22;1.17;8.27095205;0.09614;39.4;7400.0;1.5;1150.0;5.96;5.383;5.24;1.15;36.3412;204.8766;0.0;"{Molecular ratios: C\/O, etc..."":""Detection"",""Cloudy"":""Detection"",""HCN"":""Detection""}""; {CO"":""Detection"",""H2O"":""Detection""}""; {H2C2"":""Detection"",""CO"":""No detection"",""CH4"":""Detection"",""NH3"":""No detection""}"""
K2-100 b;0.06859;0.32;1.673833;0.0296;190.04;6168.0;1.22;1748.0;10.651;9.463;9.182;1.28;40.6557;9.6567;0.0446005509641873;"{He"":""Upper limit""}""; {H"":""Upper limit""}"""
K2-105 b;0.094;0.301;8.267704;0.0796;199.28;5464.0;0.91;814.0;12.0;10.541;10.091;1.28;12.5783;2.652;0.0446005509641873;"{He"":""Upper limit""}"""
K2-136 Ac;0.035820693119399;0.26;8.27095205;0.09614;59.2474;4500.0;0.677;425.0;11.2;9.096;8.368;1.28;39.0398;1.2617;0.0446005509641873;"{He"":""Upper limit""}"""
K2-139 b;0.381;0.813;8.27095205;0.09614;154.6;5370.0;0.88;524.0;11.7;10.177;9.66;1.15;44.7209;7.2042;0.0446005509641873;"{H2O"":""Upper limit""}"""
K2-141 b;0.01598;0.135;0.2803244;0.00747;61.0;4599.0;0.681;2039.0;11.5;9.086;8.401;1.26;57.4405;14.1984;0.0;[]
K2-18 b;0.02807;0.211;8.27095205;0.09614;38.07;3457.0;0.41;284.0;13.5;9.763;8.899;1.26;35.1258;0.3181;0.0;"{CH4"":""Detection"",""CO2"":""Upper limit""}""; {H2O"":""Detection""}""; {CH4"":""Detection""}""; {CH4"":""Upper limit"",""NH3"":""Upper limit""}""; {CH4"":""Detection"",""CO2"":""Detection"",""NH3"":""No detection""}"""
K2-25 b;0.0771;0.306;3.484552;0.0287;45.01;3180.0;0.29;345.7;15.88;11.303;10.444;1.28;47.4377;2.2024;0.0446005509641873;"{H"":""Upper limit""}""; {He"":""Upper limit""}"""
K2-33 b;3.7;0.45;5.424865;0.0409;139.8;3540.0;1.05;864.90759857417;16.0;11.095;10.026;1.15;0.5932;9.0613;0.0446005509641873;"{Cloudy"":""Detection""}""; {He"":""Upper limit""}"""
K2-77 b;1.9;0.205;8.199796;0.0753;142.31;4970.0;0.76;806.0;12.158;10.384;9.799;1.26;0.2953;2.2058;0.0446005509641873;"{H"":""Upper limit""}""; {He"":""Upper limit""}"""
KELT-1 b;4.22;1.15;1.217514;0.02472;263.0;6516.0;1.471;2423.0;10.7;9.682;9.437;1.15;3.6811;116.276;0.0;"[]; {FeH"":""Detection"",""CH4"":""Detection""}"""
KELT-10 b;0.679;1.399;4.166285;0.0525;183.0;5948.0;1.209;1377.0;10.8;9.693;9.338;1.15;222.4655;122.5955;0.0446005509641873;"{Na"":""Upper limit"",""H"":""Upper limit""}"""
KELT-11 b;0.195;1.3;4.736529;0.06229;98.0;5370.0;2.72;1712.0;8.0;6.616;6.122;1.15;629.7373;149.4223;0.0;"{Na"":""Upper limit""}""; {H2O"":""Detection""}""; {Na"":""Detection""}"""
KELT-16 b;2.75;1.415;0.9689951;0.02044;365.0;6236.0;1.36;2453.0;11.9;10.928;10.642;1.15;45.3059;126.5685;0.0;[]
KELT-2 A b;1.486;1.306;4.1137914;0.05498;128.9;6148.0;1.842;1715.9702692513;8.7;7.669;7.346;1.15;112.7559;160.197;0.0446005509641873;"{Molecular ratios: C\/O, etc..."":""Detection"",""H2O"":""Detection""}"""
KELT-23 Ab;0.937;1.29;2.25528756;0.03523;125.42;5899.0;0.996;1513.0;10.4;9.2;8.350957978986402;1.15;256.7721;4920.829656780736;0.0446005509641873;"{H2O"":""Detection""}"""
KELT-3 b;1.418;1.333;2.7033902;0.04117;178.0;6304.0;1.482;1823.825685968;9.8;8.963;8.662;1.15;113.6839;150.3494;0.0446005509641873;"{H"":""No detection""}"""
KELT-7 b;1.24;1.293;2.734784;0.0446;129.0;6789.0;1.732;2048.0;8.54;7.739;7.543;1.15;171.3981;189.8241;0.0446005509641873;"{Ca+"":""Upper limit"",""Na"":""Upper limit"",""H"":""Upper limit"",""Li"":""Upper limit"",""Mg"":""Upper limit""}""; {H2O"":""Detection"",""H-"":""Detection""}""; {Na"":""Upper limit""}"""
